model,ext,nodes,edges,time,mem
result0_10000,xmi,9920,17547,1231,52043
result0_100000,xmi,107191,192818,14843,471339
result0_1000000,xmi,973037,1750031,137880,1468503
result0_50000,xmi,46513,117753,6775,241830
result0_500000,xmi,457154,822062,65643,864887
